schema_version,shortcode,item_type,post_url,author_handle,saved_collection,caption_text,likes_count,comments_count,published_at,audio_title,audio_original_or_trending,data_quality,data_quality_reason,engagement_proxy,trend_age_days,priority_flag,shortlist_flag,parsed_at
1.0,DVQNkc1ittY,post,https://www.instagram.com/p/DVQNkc1ittY/,p,Instagram,"Реально интересные вопросы для ребенка . #ребенок #ребёнок"".",31000,60,,"Мама Может в Instagram : ""Реально интересные вопросы для ребенка . #ребенок #ребёнок""",trending_or_other,partial,some_fields_missing,31132,,watch,no,2026-03-16T14:16:38.352Z
1.0,DU58vGKDTT7,post,https://www.instagram.com/p/DU58vGKDTT7/,p,Instagram,"срочно отправляй своей 30-летней подруге!🐈‍⬛🤌🏼 больше полезного у: @trener_diakova и ты обязательно попробуй, всего 10 упражнений, а ощущения в теле🔥 * упражнения не должны доставлять сильных болевых ощущений, максимум легкий дискомфорт и приятное натяжение! ** видео ускорено в 2-3 раза, выполнять упражнения следует медленно и подконтрольно! ‼️у меня есть курс в записи - 15 полноценных тренировок (25-35 мин каждая тренировка) для развития гибкости, осанки и шпагатов, в формате «смотри и повторяй» доступ навсегда - 99$🔥🔥🔥 пиши в директ «хочу курс»💌 #стретчинг #осанка #здороваяспина #шпагатдома #тренеронлайн"".",87000,1260,,"растяжка • осанка • шпагат • гибкое здоровое тело♥️ в Instagram : ""срочно отправляй своей 30-летней подруге!🐈‍⬛🤌🏼

больше полезного у: @trener_diakova 

и ты обязательно попробуй, всего 10 упражнений, а ощущения в теле🔥

* упражнения не должны доставлять сильных болевых ощущений, максимум легкий дискомфорт и приятное натяжение!
** видео ускорено в 2-3 раза, выполнять упражнения следует медленно и подконтрольно!

‼️у меня есть курс в записи - 15 полноценных тренировок (25-35 мин каждая тренировка) для развития гибкости, осанки и шпагатов, в формате «смотри и повторяй» доступ навсегда - 99$🔥🔥🔥
пиши в директ «хочу курс»💌

#стретчинг #осанка #здороваяспина #шпагатдома #тренеронлайн""",trending_or_other,partial,some_fields_missing,89772,,watch,no,2026-03-16T14:16:38.319Z
1.0,DUu0CAhjf6Z,post,https://www.instagram.com/p/DUu0CAhjf6Z/,p,Instagram,"Мой цветочный стиль 💔"".",317000,1834,,"Павел Полков | Наставник для флористов в Instagram : ""Мой цветочный стиль 💔""",trending_or_other,partial,some_fields_missing,321035,,watch,yes,2026-03-16T14:16:38.523Z
1.0,DQYIYCDEfZX,post,https://www.instagram.com/p/DQYIYCDEfZX/,p,Instagram,"Моё первое видео про нашу кофейню в ленте. Немного коряво, но дальше будет лучше, обещаю!"".",26000,636,,"Гулнура в Instagram : ""Моё первое видео про нашу кофейню в ленте. Немного коряво, но дальше будет лучше, обещаю!""",trending_or_other,partial,some_fields_missing,27399,,watch,no,2026-03-16T14:16:39.650Z
1.0,DPGR7I1jG3j,post,https://www.instagram.com/p/DPGR7I1jG3j/,p,Instagram,"Кого не хватает в этом списке? Комментарии, предложения?💌 Спасибо за просмотр и слушайте классную музыку!"".",65000,1728,,"Настя Грабович•свобода быть собой в Instagram : ""Кого не хватает в этом списке? Комментарии, предложения?💌
 Спасибо за просмотр и слушайте классную музыку!""",trending_or_other,partial,some_fields_missing,68802,,watch,no,2026-03-16T14:16:39.843Z
1.0,DO3qKeFjYgB,post,https://www.instagram.com/p/DO3qKeFjYgB/,p,Instagram,"не могу сказать что прям отрываю от души, скорее отстегиваю. Муа ✨"".",89000,419,,"Клинический психолог | КПТ | Мария в Instagram : ""не могу сказать что прям отрываю от души, скорее отстегиваю. Муа ✨""",trending_or_other,partial,some_fields_missing,89922,,watch,no,2026-03-16T14:16:40.090Z
1.0,DPpClFTCEAe,post,https://www.instagram.com/p/DPpClFTCEAe/,p,Instagram,"Наконец-то закончили обустройство спальни Прямые ccылки оставил в шапке профиля или загляните в комменты 👉"".",628000,2048,,"Александр Би́бик в Instagram : ""Наконец-то закончили обустройство спальни

Прямые ccылки оставил в шапке профиля или загляните в комменты 👉""",trending_or_other,partial,some_fields_missing,632506,,watch,yes,2026-03-16T14:16:41.444Z
1.0,DPmSuYODfa2,post,https://www.instagram.com/p/DPmSuYODfa2/,p,Instagram,"Сохраняй и подавайся, больше лайфхаков по UGC в аккаунте @lexi.newz #ugc #жизньвамерике #жизньвсша #сша"".",230,7,,"Sasha | Videomaker | UGC creator в Instagram : ""Сохраняй и подавайся, больше лайфхаков по UGC в аккаунте @lexi.newz 

#ugc #жизньвамерике #жизньвсша #сша""",trending_or_other,partial,some_fields_missing,245,,watch,no,2026-03-16T14:16:41.509Z
1.0,DN5t3OCCiur,post,https://www.instagram.com/p/DN5t3OCCiur/,p,Instagram,,19000,495,,Лизонька🪡 в Instagram ,trending_or_other,partial,some_fields_missing,20089,,watch,no,2026-03-16T14:16:41.744Z
1.0,DMX971TotFw,post,https://www.instagram.com/p/DMX971TotFw/,p,Instagram,"Если я слышу на консультации что человек хочет стать взрослее, и проработать детскую позицию, я понимаю, что с этим у него все хорошо, потому что инфантильный человек никогда не пойдет с этим в терапию и даже не признает, что с ним что-то не так. ⠀ А вот как раз ответственные тревожные люди, которые рано повзрослели и привыкли много на себя брать, постоянно считают себя недостаточно зрелыми, взрослыми и пытаются еще больше себя засунуть в дисциплину. ⠀ Исцеление для таких людей в проживании детства, которое чаще всего у них было забрано ( инфантильные родители, тревожные времена, небезопасная ситуация), этим людям очень важно по настоящему прожить период детства и подросткового возраста, где не надо брать ответственность за сестру, мать, пьющего отца или загадывать деньги в 14. ⠀ В шапке тест на тревогу, сделай диагностику своего состояния Сейчас и узнай, что делать)"".",25000,414,,"Владислава Гáльченко. Вдохновляю жить🪄 в Instagram : ""Если я слышу на консультации
что человек хочет стать взрослее, и проработать детскую позицию, я понимаю, что с этим у него все хорошо, потому что инфантильный человек никогда не пойдет с этим в терапию и даже не признает, что с ним что-то не так.
⠀
А вот как раз ответственные тревожные люди, которые рано повзрослели и привыкли много на себя брать, постоянно считают себя недостаточно зрелыми, взрослыми и пытаются еще больше себя засунуть в дисциплину.
⠀
Исцеление для таких людей в проживании детства, которое чаще всего у них было забрано ( инфантильные родители, тревожные времена, небезопасная ситуация), этим людям очень важно по настоящему прожить период детства и подросткового возраста, где не надо брать ответственность за сестру, мать, пьющего отца или загадывать деньги в 14.
⠀
В шапке тест на тревогу, сделай диагностику своего состояния Сейчас и узнай, что делать)""",trending_or_other,partial,some_fields_missing,25911,,watch,no,2026-03-16T14:16:42.822Z
